price_Item,restaurant_Id,ID,Name_Item
34.10,53,337,"GRILLED AHI TUNA ON BRAISED SHIITAKES WITH WILTED FRISEE AND A CRACKED MUSTARD INFUSION SAUCE, BASIL AIOLI"
25.30,191,1265,LONG-STEM DRISCOLL STRAWBERRIES DIPPED IN CHOCOLATE
32.50,36,234,"Duckhorn 1995, Napa"
25.10,275,1809,"Pinot Noir, Lot # 1 1, Ramsay, 1998.  (California)"
28.00,265,1744,FREE RANGE YOUNG CHICKEN WITH ROASTED POTATOES ROSEMARY AND OLIVES
18.30,73,469,"Insalata Tre colori ENDIVE, ARUGOLA & RADICCHIO"
11.60,310,2041,"LHereu: Cava, Macabeo, Xarel-Lo"
29.60,393,2578,"Pouilly-Fume, Vieilles Vignes, Regis Minet, 1999 (Loire Valley)"
30.00,181,1211,Unfiltered Apple Juice
21.90,124,837,Oranges
24.00,64,411,"SAUTEED ARTICHOKE WITH BASIL Artichoke, Tomato and Soy Protein in a Black Bean Sauce Seasoned with Basil (Taro Spring Roll, Brown Rice)"
24.90,179,1196,Fresh Shrimp Chop Suey
17.50,368,2412,Baked Stuffed Lobster with buttery Crabmeat Stuffing
24.00,309,2037,Duchess potatoes
28.00,260,1712,"Chardonnay, Lindemans Bin 65"
17.00,9,64,Topi-Maki and Mixed Salad
22.90,5,32,Gnocchi Bolognese HOMEMADE DUMPLINGS PASTA WITH MEAT SAUCE
26.00,308,2027,Shrimp w. Eggplant
17.40,347,2289,Fried Crabmeat Stick
29.00,371,2438,Mozzarella with Roasted Red Pepper Bruschetta
28.60,91,590,Fish & Chips. Regular or Spicy
25.10,234,1536,Half-Pound Hamburger Served on a Roll with French Fries or Salad
25.50,301,1985,"Cobb Salad: Diced Avocado, Bacon, Turkey, Ham, Tomato, Swiss and Cheddar Cheeses, Choice of Dressing"
13.50,215,1411,"STEAK TARTARE, THE CONVENTIONAL WAY OR LIGHTLY SEARED"
33.20,45,285,Beef w. Eggplant
11.00,68,437,"Gewurztraminer, Cote de Rouffach, Mure, 1998 (Alsace)"
23.40,216,1421,1/4 lb. Colossal Crab Meat
29.50,288,1902,"Crispy Chicken Wings w. Garlic Sauce, w. Beef Fried Rice"
34.50,218,1429,Burger
15.60,131,880,Kiwi Mineral Water
13.90,18,126,2007 ASSYRTIKO Santorini Sigalas
27.20,58,373,"Valpolicella, Quintarelli 1993"
21.80,339,2225,Steamed Broccoli w. Snow Peas & String Beans
16.00,419,2749,"Primitivo, A. Mano"
22.50,43,278,"Frogs Leap, 1995, Napa"
17.70,266,1754,"Muscat, Beaumes de Venise"
26.60,320,2104,CAPESANTE IN CROSTA DI ERBE AROMATICHE
18.20,327,2155,Chicken w. Brococli
22.90,157,1055,Kung Po Baby Shrimp
29.20,287,1897,"Chateau Olivier, Grand Cru Classe De Graves 1995 (Bordeaux)"
20.90,330,2175,Fried Fish (2) w. Pork Fried Rice
32.00,341,2238,Little Neck Clams
22.60,94,613,Fried Chicken Wings (4) w. Shrimp Fried Rice
19.30,419,2752,Handcut French Fries
24.80,352,2316,Lobster Steak with Hash-Brown Potatoes: Lemon Brown Butter
26.40,12,78,"Insalata Di Spinacci WITH BACON, WALNUTS & MUSHROOMS"
21.40,160,1074,"Chianti Classico, Remole, Frescobaldi"
24.70,165,1110,Mahi Mahi
23.80,238,1570,Char-grilled cold water lobster tail on herb spun angel hair with a srirachi garlic viniagrete.  Thirteen
20.90,363,2379,"Wraps: W5  Vegetarian Grilled Eggplant, Squash & Zucchini with Avocado, Sprouts & Humus ... 5.75"
28.00,180,1205,Baby Shrimp w. Cashew Nuts
31.40,220,1441,Carrot Cake Square
26.60,148,990,"Merlot St. Morillion, 1996, Chile"
29.40,295,1948,Steamers with Drawn Butter
37.10,399,2616,Pastrami Salmon
28.30,263,1734,Glenlivet
19.70,107,708,Orange Spice Tea
27.90,193,1279,"Maryland Crab Cake. With Apple and Mesclun Salad, Cider-Mustard Vinaigrette"
26.20,258,1698,Smoked Chatham Cod Croquettes - with American paddlefish caviar
23.70,424,2785,Cherries
33.50,353,2321,"The Joy of Bonaparte with lemon curd, whipped cream and fresh berries"
34.30,223,1463,"Chianti Classico Riserva, Villa Antinori, Tuscany, Italy 1997"
18.80,395,2587,Home Style Bean Curd
31.80,145,964,Chocolate Mousse
17.00,243,1602,Chicken w. String Bean
33.60,132,890,"Geyser Peak 1996, Sonoma"
20.20,79,512,Chicken Finger
10.40,126,848,"Beaujolais Brouilly, Chateau de la Chaize 1996 (Burgundy)"
17.80,44,279,Asparagus salad with aromatic herbs and egg dressing
13.40,63,405,Bisque de Homard
19.70,146,975,Modern Liverwurst - with four pickled vegetables
16.60,14,92,Chicken Finger
17.40,376,2468,"Wolf Blass 1996, Australia"
14.00,3,23,OYSTERS:  Malpeque
30.70,15,105,Seared Sushi Steak Rolls hoisin sauce
17.90,121,819,"Duck Confit with crispy potatoes, wild  mushrooms and frisÃƒÂ©e salad"
17.20,42,267,654 Kracher #1 Beerenauslese Cuvee 2002
20.90,300,1980,"House Spicy Maki Rolls - jalapeno smoked salmon, yellowfin tuna, cucumber, scallion, flying fish roe"
23.90,251,1654,"Specialty Sandwiches: #16  Roast Beef: Vermont Cheddar, Leaf Lettuce, Plum Tomato, No Fat Russian Dressing on French Baguette ... 6.25"
26.30,379,2487,Assorted Teas*
21.30,227,1494,GNOCCHI CON FEGATINI DI POLLO chicken livers
12.50,10,69,Thai Red Curry with sauteed Shrimp
11.40,59,376,Gulf Red Snapper
19.10,164,1099,Fried Fresh Artichokes Alla Giudea (seasonal)
33.50,326,2145,"FRESH RAINBOW TROUT an 8 oz. boneless rainbow trout grilled and topped with a lemon, herb butter served with steamed Basmati rice and fresh vegetables"
28.40,288,1909,Vanilla Italian Soda
29.60,58,369,Chicken w. Bean Curd
34.00,233,1534,"Sancerre, Bernard Clement 1996, Loire"
12.70,390,2555,"Merlot, Poppy Hill, 1997.  (Napa Valley)"
19.40,52,335,Bamboo Steamed Vegetables
28.90,294,1945,"Pinot Noir, Pedroncelli"
16.50,318,2091,Duck Shepherds Pie
24.70,128,858,"Pan Fried Scallops with Anchovy, Capers & Lemon"
8.20,67,426,"Main Courses with House Salad (balsamic vinaigrette, sesame tamari, honey bleu cheese or ranch dressing) add $1.00"
14.90,358,2355,Lemon Bar
22.40,368,2411,"Apple Fruit Spritzer - Apple juice, club soda & a twist of lime"
35.90,370,2430,Fresh Shrimp Chop Suey
27.90,388,2539,Root Beer ... 1.75
15.90,199,1321,Onion Soup GratinÃƒÂ©e
31.80,183,1225,"Kendall Jackson Vint. Reserve 1996, Calif."
30.50,165,1109,Roast Pork w. Mixed Veg
26.50,297,1958,Franciscan Oakville Estates 95 Napa
8.90,10,70,Tuna. Prepared Medium Rare
22.80,236,1554,Baby Shrimp w. Bean Sprouts
36.50,365,2395,Roast Pork w. Broccoli in Garlic Sauce
23.60,219,1438,Moet & Chandon Brut Imperial N/V
14.40,160,1072,Mango Sorbet
22.60,133,893,Sanka
13.10,51,326,"Chardonnay 1999, Sonoma Cutrer (Russian River)"
20.50,231,1519,"Chardonnay, Glass Mountain"
26.70,211,1386,Way 2Cool Ginger Ale (Taos Brewing Co.)  full bodied drinks
18.00,112,751,"Grilled Lamb Chops - mashed potato, haricot vert, and a garlic wine sauce"
36.60,348,2294,"Chalk Hill Chardonnay, 1995, Chalk Hill"
22.30,172,1150,Fricassee of Asparagus and Morels with a sweet garlic flan
22.20,353,2323,Mesclun Salad*
32.70,34,223,"Brundlmayer: Austria, Pinot Noir, Pinot Blanc"
25.50,149,995,"Wraps: W1  Asian Chicken Bok Choy Cabbage, Bean Sprouts, Mandarin Orange mixed with a Low Sodium Ginger Sesame Dressing ... 6.25"
26.50,6,43,"CAPPELLACCI DI FORMAGGIO large cheese ravioli, prosciutto & sage"
19.80,372,2447,"Gewurztraminer Fieldstone 1996, Sonoma"
29.70,107,710,"Consomme, Cold"
28.80,86,559,"Chalk Hill Chardonnay, 1995, Chalk Hill"
21.80,416,2727,Poached Red Snapper in a Saffron Broth served with Baby Vegetables
20.80,124,836,"Specialty Sandwiches: #16  Roast Beef: Vermont Cheddar, Leaf Lettuce, Plum Tomato, No Fat Russian Dressing on French Baguette ... 6.25"
21.30,394,2584,"Merlot St. Morillion, 1996, Chile"
21.10,263,1726,"GRILLED TUNA BURGER,  Asian Style"
18.10,154,1031,Chocolate Milk ... 1.50
16.10,119,806,"First Class Platter -  half a 1 1/2 lb. lobster, shrimp, assorted smoked salmons, sturgeon with truffle oil and two salads"
29.30,76,487,Strawberry Italian Soda
18.30,407,2669,"Wraps: W1  Asian Chicken Bok Choy Cabbage, Bean Sprouts, Mandarin Orange mixed with a Low Sodium Ginger Sesame Dressing ... 6.25"
34.20,300,1978,Braised Pork Loin stuffed with sweet sausage and served with artichoke and zucchini
9.40,257,1695,New York Style Cheesecake With strawberry sauce
35.80,389,2547,"Diver Sea Scallops, sauteed vegetables & lentil salad"
32.70,33,218,Beefeater Gin
16.80,404,2648,Kung Pao Chicken Wings. Spicy...served with Blue cheese
8.50,125,847,"GRAVLAX SALMON, DILL-MARINATED"
28.10,183,1227,"Merlot, Rombauer Vineyards, 1997. (Napa Valley)"
29.20,412,2702,"Lamb Chops, Colorado lamb loin chops crusted with toasted cumin, coriander and cracked peppercorns grilled and accompanied by a roasted garlic and sage aioli served with rosemary roasted new potatoes and fresh vegetables"
13.80,110,732,Cheeseburger
21.00,305,2009,St. Jacques PolÃƒÂ©es
37.60,369,2423,"Breganze de Breganze, Maculan"
21.90,164,1101,Espresso*
10.20,173,1153,"Cotes de Gascogne, Domaine Duffour, 1999 (Gascogne)"
20.10,92,599,"SHEPHERDS PIE CROQUETTES Minced Vegetables Surrounded by Mashed Potatoes in a croquette (Basil Moo Shu Roll, Pickled Cabbage)"
18.20,67,425,ORANGE BEEF
28.80,232,1521,"Chardonnay, Iron Horse 95"
14.10,327,2150,Shrimp Cocktail
13.20,14,98,Boneless Bar-B-Q Spare Ribs
24.20,169,1134,Grilled Chicken Salad
22.10,351,2308,CALABRIA PEPPERONI mozzarella & tomatoes
18.80,346,2276,"Specialty Sandwiches: #1  Cajun Chicken: Low Fat Alpine Lace Cheese, Radicchio with a Yogurt Dill Dressing on Country Italian Bread ... 6.25"
29.20,396,2595,"Cabernet Sauvignon, Domaine St. George"
21.80,317,2085,Fraise
27.50,102,675,"Slow Poached Farm Egg In a Jar- with Maine lobster, crosnes and sea urchin froth"
25.00,176,1174,Flavored Coffee of the day ... ..96 ... 1.18 ... 1.44
24.10,11,75,"ChÃƒÂ¢teau de PocÃƒÂ©, Touraine, 1999, Sauvignon"
30.80,308,2029,"Cobb Salad:  Poached Chicken Breast, Sliced Avacado, Sprouts, Mushrooms over our Crisp Garden Salad ... 5.95"
18.30,124,840,Chargrilled Burger with Roquefort Cheese & Shoestrings
24.00,209,1373,Fried 1/2 Chicken w. Chicken Fried Rice
27.90,407,2668,"Pan Fried Scallops with Anchovy, Capers & Lemon"
8.70,95,625,"Great Western, Extra Dry"
29.70,252,1660,Any Side Vegetable Salad
28.60,117,792,Chocolate Mousse
20.10,398,2605,"Bonny Doon Riesling Pacific Rim 1995, Calif."
34.30,325,2136,"Specialty Sandwiches: #3  Smoked Breast of Turkey: Brie Cheese, Leaf Lettuce, Plum Tomato & Honey Mustard on a French Baguette ... 6.25"
28.60,86,560,Assorted Smoked Salmon & Shrimp
23.80,395,2593,"Merlot, Domaine de Moulines, 1999, (Vin de Pays Du gard)"
31.00,38,244,"Albarino, Morgadio, 1999. (Spain)"
34.60,325,2140,Margherita Pizza
20.20,131,876,Creamed Spinach
13.40,222,1456,Linie Aquavit
29.60,356,2338,Chicken Chop Suey
23.00,286,1888,"Gruet Brut, NV, New Mexico"
9.90,142,951,Twelve Dancing Shrimp
26.20,332,2191,Roasted Baby Lamb Chops: full rack of herb crusted baby chops & three vegetable antipasti
24.70,237,1564,"KRUG, GRANDE CUVEE, BRUT CHAMPAGNE NV"
20.10,312,2054,Chicken Quesadilla  8.50
18.90,361,2367,Hot & Spicy Shredded Pork
27.50,184,1233,"Calvados Cocktail: Calvados, OJ, Triple Sec, Orange Bitters"
28.90,388,2542,1 lb Chilled Lobster
9.20,247,1626,"Chianti Classico Fonterutoli, 1995"
21.80,73,467,Calvados Busnel Hors dAge
21.20,411,2689,Pot Roast Rabbit with Fennel & Olives
24.50,25,165,Pineapple Duck
23.70,36,237,"Portuguese Fishermans Stew. Cod, Mussels, Clams and Chorizo in a Saffron Tomato Broth...Garlick Toasts"
27.90,138,922,Fried Wonton (12)
27.80,27,176,Cinnamon Sticky Buns ...2.25
27.20,285,1878,Petite Fours
21.30,258,1705,"Pinot Noir, Indigo Hills"
21.80,312,2058,1/2 Lobster
27.60,281,1856,COKE
19.00,385,2524,Fried 1/2 Chicken w. French Fries
25.80,243,1603,Chicken w. Brococli
9.70,66,424,"GRILLED AHI TUNA ON BRAISED SHIITAKES WITH WILTED FRISEE AND A CRACKED MUSTARD INFUSION SAUCE, BASIL AIOLI"
17.30,350,2305,Half a 1 1/2 lb. Lobster Cocktail
12.80,346,2279,Joes Sizzling Chicken Fajitas
32.40,306,2016,"VINE-RIPE TOMATOES WITH SNOW WHITE ANCHOVIES, BASIL AND ONIONS"
22.70,256,1688,"Groth 1994, Napa"
19.80,69,442,"Crispy red corn relleno filled with Isacs roasted duck and black bean mole, jalapeno - mango salsa and crÃƒÂ¨me fraiche.  Eight Fifty"
14.70,156,1046,"White Meritage, Conundrum, Caymus Vinyards, 1999 (Napa Valley)"
24.30,114,773,"Sangiovese 1997, Showket (Napa)"
33.10,144,960,GENERAL TSOS CHICKEN Chunks chicken lightly fried w. hot bean sauce. This plate was devised by a private chef of General Tsos who was a famous general in Szechuan army.
11.00,327,2154,"Zinfandel, Clos Du Bois"
15.80,122,822,HOT FUDGE NAPOLEON
32.40,157,1054,"Byron, Pinot Noir, Santa Maria Valley, USA 1997"
24.70,249,1644,"Scallop & Beef  Sliced prime filet of beet & round scallops sauteed w. snow pea pods, baby corn, straw mushroom in brown sauce. A real treat!"
24.20,335,2206,"Meursault Perrieres, Latour Giraud 1995"
11.10,366,2401,A Snifter of Marc with biscotti
19.20,167,1117,Fried Boneless Chicken
33.30,322,2119,"Bandol Blanc, Pibarnon, 1998 (Provence)"
24.10,328,2158,"Chateau Olivier, Grand Cru Classe De Graves 1995 (Bordeaux)"
27.40,61,387,"Mayacamas 1991, Napa"
28.40,134,898,Raspberry tart
23.80,28,183,Smoked Haddock Chowder with Homemade Crackers
20.10,382,2505,Onion Soup GratinÃƒÂ©e
29.60,117,787,"Puligny-Montrachet, Chanson 1995"
29.80,334,2201,Christers Champagne Cocktail with Black Currant Sorbet
32.80,401,2626,Sweet & Sour Chicken
8.70,127,855,La Chiripada Vino Sonrojo (NM)
22.00,421,2771,Gordons Gin
22.70,112,752,"Caesar Salad with Cajun Shrimp. Fresh Romaine tossed with Ceasar Drissing, Croutons"
31.30,297,1961,Beef w. Pepper & Tomatoes
17.10,173,1155,Fresh Squeezed OJ or Grapefruit Juice   Small ...1.75  Large ...2.95
33.40,162,1082,Avocado Stuffed with Crabmeat
16.90,422,2773,"Grilled ahi tuna on braised shitakes with wilted frisee and a cracked mustard infustion sauce, basil aioli.  Twenty Four"
23.00,418,2742,Gratin Dauphinois
15.50,106,706,wakame and cucumber salad with ume and shiso
17.80,80,514,mesclun salad with sesame leaf and watercress
24.70,4,31,"Chardonnay, Glass Mountain"
19.40,71,455,"Barbera DAsti, Camp Du Rouss, Coppo, 1997. (Piedmont)"
21.30,231,1516,San Pallegrino
28.60,288,1904,"Wraps: W3  Thanksgiving Fresh Carved Turkey, No Fat Stuffing with our home-made Cranberry Sauce ... 6.25"
23.70,282,1859,"Pinot Noir, Pedroncelli"
24.10,186,1244,Bamboo Steamed Vegetables
13.00,126,852,"Cabernet Sauvignon, Girard, 1996. (Napa Valley)"
25.50,136,907,Fresh Brewed Coffee
30.90,183,1224,Tuna Spring Roll
20.10,213,1398,Fettuccine Alfredo FETTUCCINE WITH CREAM SAUCE
27.10,144,961,"Merlot, Newton 95"
11.90,380,2492,Insalata Di la Casa WITH GRILLED CHICKEN
22.30,235,1547,Foie Gras Torchon - with muscat gelÃƒÂ©e and toasted country bread
22.20,245,1617,"Calabria Pizza - pepperoni, mozzarella & tomato"
23.60,422,2778,"Pistachio and Strawberry Tart, Sour Cream and Kirsch Ice Cream"
32.70,134,901,"Pouilly Fume, Ladoucette 1994, Loire"
19.00,0,5,Roast Pork w. Mushrooms
25.20,243,1604,Tea
25.30,264,1736,"Sancerre, Gueneau"
27.10,138,926,"Sangiovese 1997, Showket (Napa)"
23.60,183,1220,"Selaks 1996, N. Zealand"
33.10,264,1742,Pork w. Bean Curd
32.50,317,2086,Barolo Rocche dei Manzoni 1993 DOCG (Piedmont)
30.00,184,1230,House Special Chow Fun
26.20,411,2693,Rhode Island Fried Calamari. Hot Peppers & Garlic
31.60,412,2701,Sullivan County Foie Gras and Diver Scallop - with sunchoke soup and toasted Marcona almonds
17.20,324,2131,Rib Tips w. Garlic Sauce w. Beef Fried Rice
31.60,340,2234,PERNOD
20.20,1,8,Hot Chocolate with whipped cream
8.60,222,1457,"Cabernet Sauvignon/Merlot, Heges, 1998. (Washington)"
16.70,197,1309,Sweet & Sour Pork & Chicken Mixed
24.00,278,1834,"Scampi. Shrimp and Garlic with White Wine, Tomatoes and Mushrooms over Linguine"
20.10,187,1246,Entrana GRILLED SKIRT STEAK
24.30,72,464,Steak au Poivre with pommes frites and spinach
24.30,155,1035,Ribolita Soup - Tuscan white bean soup
14.80,213,1396,Beef w. Pepper & Tomatoes
25.00,250,1646,"Champagne Cocktail: Champagne, Sugar Cube, Bitters"
22.20,280,1848,"DUCK CONFIT, POTTED AND CRISPED WITH A RAGOUT OF TOMATOES, EGGPLANT & FARRO"
17.00,143,956,Grilled Dry Aged Rib Eye Steak
29.30,274,1806,"Cabernet Sauvignon, Bodega Weinert, 1995. (Argentina)"
27.50,4,29,San Pallegrino
14.60,92,597,Kung Po Shrimp
25.60,242,1597,"Brandy Alexander: Brandy, Cream, Creme de Cacao"
9.50,195,1291,Grilled 1 1/2 lb. Maine Lobster
16.40,128,861,Rice Pilaf with Orzo
21.50,85,552,Lobster Chow Mein
22.60,360,2364,Calamari Fritti FRIED SQUID
22.50,272,1792,"Wraps: W2  Thai Chicken Chopped Lettuce, Shaved Carrots with a Lemongrass Dressing ...6.25"
20.40,70,453,Fried Chicken Nuggets (12) w. Chicken Fried Rice
21.00,350,2303,Cheese Danish ...1.60
22.40,223,1464,"Fume Blanc, Ferrari-Carano, 1999 (Sonoma)"
33.10,275,1814,"Cabernet, Pedroncelli"
26.60,250,1651,"Chardonnay, Riverstone, J. Lohr"
18.30,80,518,"Insalata Di Gamberi e Avocado SHRIMP WITH AVOCADO, LEMON, HERBS & DRESSING"
31.10,340,2230,Lobster Steak with Hash-Brown Potatoes: Lemon Brown Butter
32.50,395,2590,Fresh Squeezed OJ or Grapefruit Juice   Small ...1.75  Large ...2.95
27.50,283,1869,Beefeater Gin
17.80,50,319,Fresh Squeezed OJ or Grapefruit Juice   Small ...1.75  Large ...2.95
22.80,239,1578,Orange Smoked Salmon
14.10,360,2362,"Markham 1995, Napa"
30.80,401,2631,Seared Ahi
20.40,345,2268,"Specialty Sandwiches: #9  Honey Glazed Ham:  Mozzarella, Caramelized Onions & Honey Mustard on Eight Grain Ciabatta ... 6.25"
19.80,16,110,Apricots
29.30,285,1881,"Cabernet Sauvignon-Sangiovese, Firebreak, Shafer, 1997. (Napa Valley)"
20.70,308,2030,"Chardonnay, Carneros, Beaulieu"
26.70,282,1857,Gouden Carolus
22.90,102,672,"Chenin Blanc, Pine Ridge, 1999 (Napa Valley)"
25.80,197,1310,Fricassee of Asparagus and Morels with a sweet garlic flan
12.50,253,1669,Graves
24.80,111,746,"Coteaux du Languedoc, Prieure De St-Jean De Babian 1996 (Languedoc)"
21.80,375,2464,Sandeman Don Fino Dry Sherry
26.30,421,2766,Red Zinger Iced Herbal Tea
30.80,239,1576,Chicken Finger
34.80,279,1839,654 Kracher #1 Beerenauslese Cuvee 2002
35.40,319,2097,Fresh Grilled Shrimp - with green cabbage and gruyÃƒÂ¨re salad
24.30,97,635,"Filet Mignon, grilled filet of beef tenderloin accompanied by a brandy, shiitake mushroom cream sauce, served with rosemary roasted new potatoes and fresh vegetables"
21.60,90,578,"Gewurztraminer Fieldstone 1996, Sonoma"
32.00,411,2696,Mussels with Garlic and White Wine
18.00,43,274,Bife Di Churrasco SHELL CHURRASCO [grilled rump]
22.50,364,2385,SAUTEED SPINACH
22.30,298,1965,Shrimp w. String Bean
21.40,310,2040,Green Tea Ice Cream
23.70,331,2186,Bar-B-Q Spare Rib Tips
32.20,249,1639,Mesclun Salad*
19.80,136,908,Bananas
21.20,287,1900,"Chateau Montelena, 1995, Napa"
29.00,274,1805,"House Salad. A mix of Romaine and Mesclun with Red Onions, Tomatoes and Cucumbers...choice of Dressing"
21.30,206,1356,Unfiltered Apple Juice
34.50,338,2222,Steamers with Drawn Butter
34.20,246,1623,Bluefish
26.30,15,103,"Chef Salad, Fresh Roasted Turkey, Ham, Cheese and Egg over Our Crisp Garden Salad ... 5.95"
19.00,417,2737,Pacific Coast Sea Bass
31.80,132,888,STILTON CHEESE & WALNUTS WITH A GLASS OF PORT WINE
25.80,181,1210,"By the bottle: Benziger, Chardonnay, Carneros, USA 1999"
24.50,54,348,Field greens vinaigrette
19.90,295,1947,SOFT SHELL CRAB (in season)
11.70,292,1928,"Gruet, Brut, NV. (New Mexico)"
24.30,335,2207,"Pouilly Fuisse, Bouchard 1996"
35.30,297,1960,Cherrystone Clams. Six on the half shell...with any of the Littleneck garnishes
20.60,390,2553,Hunan Chicken
25.40,177,1181,"Cabernet Sauvignon, Phiippe Lorraine"
36.70,423,2779,"Domaine Carneros, Brut, 1992, Napa"
22.30,184,1229,Beef and Mushroom Pappardelle
21.70,96,629,"Zinfandel, Clos Du Bois"
17.20,418,2746,"Sauvignon Blanc Babich, 1997, New Zealand"
22.30,194,1285,"NUITS ST. GEORGE, DOMAINE DE LARLOT, PREMIER CRU 95"
20.50,100,654,"Apple Fruit Spritzer - Apple juice, club soda & a twist of lime"
16.00,22,149,"Onion Strings. Thinly sliced, battered and fried"
17.80,188,1255,Chicken w. Snow Pea Pods
22.10,246,1624,Ice Cream
27.30,21,142,"Stags Leap 1995, Napa"
20.30,65,416,"Specialty Sandwiches: #4  Roasted Chicken:  Goat Cheese, Basil & Roasted Red Onions with a Rosemary Herb Dressing on Seeded Italian ... 6.25"
34.60,252,1661,Beef w. Broccoli in Garlic Sauce
27.80,384,2520,FILETTI DI SOGLIOLA CON ZUCCHINE E CARCIOFI
12.40,67,429,"Crispy Chicken Wings w. Garlic Sauce, w. Pork Fried Rice"
32.00,226,1485,"Kistler 1996, Sonoma"
23.80,368,2419,"Pinot Grigio Benefizium Porer, Alois Lageder, Alto Adige, Italy 1999"
26.30,22,152,"Tuna Burger. Freshly ground Tuna, Chili Paste, Crumbs and Spices"
22.50,0,3,"Mango Carnitas Enchiladas, slowly simmered lean pork loin, onions, and spices layered between two blue corn tortillas with mango chutney, salsa, sour cream, and white cheddar cheese smothered with green chile and garnished with sour cream and corn salsa served with pinto beans and Basmati rice"
20.00,131,877,"Scampi Shrimp and Garlic with White Wine, Tomatoes and Mushrooms over Linguine"
25.10,200,1326,"Beaujolais Brouilly, Chateau de la Chaize 1996 (Burgundy)"
18.90,6,46,"Grilled Vegetables Including Portobellos, Squash, Eggplant & Zucchini with Melted Mozzarella and a Cucumber Dill Dressing served on Seven Grain Health Bread"
21.80,103,680,"Warm asparagus, vinaigrette"
32.00,220,1448,Cheddar Cheeseburger
9.50,170,1139,"Canoe Ridge, Merlot, Columbia Valley, USA 1997"
19.00,15,108,"LHereu: Cava, Macabeo, Xarel-Lo"
27.60,311,2048,Moet & Chandon Brut Imperial N/V
28.80,194,1288,"CABERNET SAUVIGNON, JORDAN 93"
33.90,326,2143,Cappuccino
20.90,422,2774,CAVIAR with Chopped Egg
17.50,178,1189,Skewered Shrimp
19.20,391,2565,Kirschwasser
13.20,79,508,Duchess potatoes
8.90,327,2151,"TAOS FARMERS STACK a seasonal harvest of roasted and grilled baby & gourmet vegetables, steamed greens and mashed potatoes with a Madiera mushroom gravy **"
28.90,140,934,"Eyrie Vineyards 1996, Willamette, Oregon"
22.40,26,168,"Domaine Chandon, Reserve"
13.30,380,2494,"Roasted Fennel Ravioli with tomato, pesto and crispy Parmesan"
34.00,373,2454,"FRESH RAINBOW TROUT an 8 oz. boneless rainbow trout grilled and topped with a lemon, herb butter served with steamed Basmati rice and fresh vegetables"
21.00,46,290,Smoked Salmon. Thinly sliced...Pumpernickle Toast
19.90,30,196,"Jarvis 1994, Napa"
39.70,389,2551,Pacific Coast Sea Bass
23.90,250,1650,salad of soba noodles with marinated vegetables
20.30,235,1545,Apricot Wine w/ soda & fruit garnish
23.50,258,1699,Sanka
25.20,71,459,"Margherita Pizza - tomato, mozzarella & basil"
19.30,121,816,Shrimp w. String Bean
15.30,214,1404,"Coconut Shrimp Jumbo shrimp, battered and dipped in shredded coconut, fried golden brown and served with a Chinese pesto dipping sauce, pineapple chutney, yogurt cucumbers and steamed rice"
22.50,58,371,Smoked Trout Pate with Croutons
23.80,303,1999,Low Fat Scones:  Blueberry Ã¢Â€Â¢ Raisin Ã¢Â€Â¢ Cranberry ...1.75
