id;opening_hours;city;creation_date;street;email;phone_number;name
27;08:00-21:00;New York;4/22/17 1:13;W Broadway;societe_nationale_de_poudres_et_explosifs@yahoo.com;0498-576501;Societe Nationale De Poudres Et Explosifs
28;12:00-23:00;;4/22/17 9:33;Burke Ave;society_of_medical_jurisprudence@hotmail.com;0495-967704;Society Of Medical Jurisprudence
29;12:00-23:00;;4/22/17 19:31;W 116th St;national_wholesale__druggists_association@yahoo.com;0494-229559;National Wholesale  Druggists Association
30;12:00-23:00;;4/23/17 6:01;Harrison St;comrades_of_the_army_of_the_potomac@gmail.com;0494-503010;Comrades Of The Army Of The Potomac
31;08:00-12:00;San Francisco;4/23/17 9:48;Cesar Chavez;cathay_house@outlook.com;0494-615406;Cathay House
32;12:00-20:00;San Francisco;4/24/17 1:04;Loyola Terrace;national_association_of_photo_engravers@mail.com;0497-606847;National Association Of Photo Engravers
33;12:00-23:00;;4/24/17 5:24;Sunview Dr;tower_restaurant_and_cafe@yahoo.com;0496-446296;Tower Restaurant And Cafe
34;08:00-21:00;New York;4/25/17 3:03;E 17th St;the_lyric_theatre@inbox.com;0498-370890;The Lyric Theatre
35;08:00-12:00;New York;4/26/17 1:26;W 106th St;the_colony@yahoo.com;0499-485401;The Colony
36;12:00-23:00;;4/26/17 18:19;Clover St;friends_of_hanthony_dyer@gmail.com;0495-277891;Friends Of H.Anthony Dyer
37;08:00-12:00;New York;4/26/17 19:47;W 79th St;st_johns_lodge_no_1@gmail.com;0496-925897;St. Johns Lodge No. 1
38;12:00-23:00;;4/27/17 10:43;3rd Pl;alpha_deuteron_phi_gamma_delta@outlook.com;0494-756169;Alpha Deuteron Phi Gamma Delta
39;12:00-23:00;;4/27/17 22:10;Forest Knolls Dr;long_island_business_college_hall@gmail.com;0496-359481;Long Island Business College Hall
40;12:00-23:00;;4/28/17 12:25;W 98th St;ocean_house@mail.com;0499-857831;Ocean House
41;12:00-23:00;;4/28/17 14:52;S Hughes Ln - Golden Gate National Recreation Area;bert_hough_&_tony_franker___pabst_blue_ribbon@gmail.com;0498-587830;Bert Hough & Tony Franker   Pabst Blue Ribbon
42;13:00-23:00;New York;4/28/17 16:06;Bradhurst Ave;cigar_leaf_tobacco_board_of_trade_of_the_united_states@mail.com;0498-516439;Cigar Leaf Tobacco Board Of Trade Of The United States
43;13:00-23:00;New York;4/29/17 20:52;W 46th St;paquebot_ile_de_france@hotmail.com;0497-003833;Paquebot Ile De France
44;08:00-12:00;New York;4/30/17 1:25;Minetta Ln;blue_horizon@yahoo.com;0499-771130;Blue Horizon
45;12:00-23:00;;4/30/17 6:32;Reservoir Rd;usgovernment@gmail.com;0499-531905;U.S.Government
46;12:00-20:00;San Francisco;4/30/17 18:54;Glen Ct;sons_of_delaware@hotmail.com;0499-679840;Sons Of Delaware
47;08:00-12:00;San Francisco;5/1/17 6:49;Lathrop Ave;green_mountain_restaurant_diner@gmail.com;0498-209718;Green Mountain Restaurant Diner
48;13:00-23:00;San Francisco;5/1/17 20:57;Spruce St;wally_j@gmail.com;0498-137288;Wally J
49;13:00-23:00;San Francisco;5/2/17 3:51;Horace St;merchants_club___the_salvation_army@aol.com;0498-417586;Merchants Club   The Salvation Army
50;08:00-12:00;San Francisco;5/2/17 13:08;Cleo Rand Ln;sullivans@inbox.com;0496-197092;Sullivans
51;08:00-12:00;San Francisco;5/2/17 15:06;Morris St;northern_steamship_company/great_orthern_ry_line@hotmail.com;0498-169919;Northern Steamship Company/Great Orthern Ry. Line
52;08:00-12:00;New York;5/3/17 16:40;E 8th St;the_berkeley@mail.com;0497-915938;The Berkeley
53;08:00-21:00;New York;5/4/17 19:26;E 34th St;sherrys@outlook.com;0494-019956;Sherrys
54;08:00-21:00;San Francisco;5/7/17 8:47;Tapia Dr;medical_society_of_the_state_of_new_york@outlook.com;0497-233506;Medical Society Of The State Of New York
55;13:00-23:00;San Francisco;5/7/17 15:21;Monument Way;hamburg__armerika_linie@gmail.com;0499-110587;Hamburg  Armerika Linie
56;12:00-20:00;San Francisco;5/7/17 23:03;Jason Ct;saratogy_racing_association@outlook.com;0494-179301;Saratogy Racing Association
57;08:00-21:00;San Francisco;5/7/17 23:14;Minnesota St;geneva_society_international_society_of_hotel_employees@outlook.com;0494-817642;Geneva Society International Society Of Hotel Employees
58;13:00-23:00;New York;5/8/17 14:48;Arden St;hotel_dreyfus_french_restauranr@hotmail.com;0497-831105;Hotel Dreyfus French Restauranr
59;08:00-12:00;San Francisco;5/8/17 15:25;Cameo Way;harrys_bar@aol.com;0497-835799;Harrys Bar
60;08:00-12:00;San Francisco;5/8/17 21:27;Mcrae Ln - Golden Gate National Recreation Area;cercle_francais_de_lharmonie@inbox.com;0494-211372;Cercle Francais De Lharmonie
61;13:00-23:00;San Francisco;5/9/17 0:23;Conservatory Access Rd;new_hotel_berkeley,the@inbox.com;0498-146795;New Hotel Berkeley,The
62;08:00-21:00;New York;5/10/17 0:08;W 94th St;hotel_cecil@gmail.com;0499-726854;Hotel Cecil
63;08:00-12:00;San Francisco;5/10/17 5:24;Stow Lake Dr;the_hannaberry_&_moran_dining_room@aol.com;0499-250058;The Hannaberry & Moran Dining Room
64;13:00-23:00;New York;5/10/17 17:33;Marginal St;leon_&_eddies@gmail.com;0495-181886;Leon & Eddies
65;13:00-23:00;San Francisco;5/11/17 2:35;Hwy 82;the_homestead_gwinn@outlook.com;0494-985549;The Homestead Gwinn
66;08:00-12:00;San Francisco;5/11/17 12:17;Lomita Ave;french_circle@hotmail.com;0495-007887;French Circle
67;08:00-12:00;New York;5/12/17 2:35;Rose St;manhanset_house@aol.com;0496-352756;Manhanset House
68;08:00-12:00;San Francisco;5/12/17 12:59;Minna St;cigar_manufacturers@yahoo.com;0496-049406;Cigar Manufacturers
69;13:00-23:00;New York;5/13/17 5:35;E 117th St;kronenhalle@outlook.com;0499-590224;Kronenhalle
70;12:00-23:00;;5/13/17 10:36;Incinerator Rd;winthrop_hotel@hotmail.com;0498-308091;Winthrop Hotel
71;12:00-20:00;San Francisco;5/13/17 22:45;Alma St;lafayette_hotel@yahoo.com;0494-673468;Lafayette Hotel
72;12:00-23:00;;5/14/17 1:44;W 82nd St;los_angeles_consistory_#3@yahoo.com;0498-321326;Los Angeles Consistory #3
73;13:00-23:00;San Francisco;5/14/17 5:46;Dodge Pl;hotel_ponce_de_leon@outlook.com;0496-508045;Hotel Ponce De Leon
74;13:00-23:00;San Francisco;5/14/17 9:22;Terra Vista Ave;la_vicomtesse_parker@aol.com;0496-009626;La Vicomtesse Parker
75;13:00-23:00;New York;5/14/17 18:28;W 90th St;ritz-carlton@gmail.com;0498-293424;Ritz-Carlton
76;08:00-21:00;New York;5/15/17 9:47;Dyer Ave;canadian_pacific_railway_co___ss_alberta@aol.com;0495-668133;Canadian Pacific Railway Co.   S.S. Alberta
77;08:00-21:00;San Francisco;5/16/17 1:17;King St;the_essex_hotel_the_colonnades@outlook.com;0496-311243;The Essex Hotel The Colonnades
78;12:00-23:00;;5/16/17 5:04;Haight St;amity_hall_inn@inbox.com;0497-081463;Amity Hall Inn
79;08:00-12:00;San Francisco;5/17/17 2:30;Santa Cruz Ave;gardner_&_smith@hotmail.com;0497-126104;Gardner & Smith
80;13:00-23:00;San Francisco;5/17/17 14:28;Foote Ave;the_scandia@gmail.com;0494-664925;The Scandia
81;12:00-20:00;San Francisco;5/17/17 16:49;Clipper Cove Way;essex_house_at_the_colonnades@yahoo.com;0496-262728;Essex House At The Colonnades
82;12:00-20:00;San Francisco;5/18/17 20:22;Diaz Ave;the_french_village@gmail.com;0497-268817;The French Village
83;12:00-23:00;;5/19/17 7:55;Riverside Dr;norge_hotel@hotmail.com;0497-550012;Norge Hotel
84;12:00-23:00;;5/19/17 10:57;Beacon St;au_chat_noir@hotmail.com;0495-777151;Au Chat Noir
85;12:00-20:00;San Francisco;5/20/17 0:18;De Boom St;don_roths_blackhawk_restaurant@gmail.com;0495-750239;Don Roths Blackhawk Restaurant
86;12:00-23:00;;5/20/17 6:48;Stuyvesant St;the_hotel_roosevelt@inbox.com;0497-436123;The Hotel Roosevelt
87;13:00-23:00;New York;5/20/17 7:01;W 157th St;the_pullman_company@inbox.com;0494-454409;The Pullman Company
88;08:00-12:00;San Francisco;5/20/17 16:17;Nottingham Pl;quill_and_dagger_club@inbox.com;0499-486861;Quill And Dagger Club
89;13:00-23:00;New York;5/21/17 8:41;Avenue A;new_york_state_hotel_association@mail.com;0498-077948;New York State Hotel Association
90;13:00-23:00;New York;5/23/17 9:39;Warren St;ristorante_cova@aol.com;0495-720584;Ristorante Cova
91;08:00-21:00;New York;5/25/17 9:39;Paladino Ave;society_of_colonial_wars_in_the_state_of_new_jersey@hotmail.com;0496-071272;Society Of Colonial Wars In The State Of New Jersey
92;08:00-12:00;San Francisco;5/25/17 10:45;Addison St;patent_law_associaton_of_washington@outlook.com;0495-881993;Patent Law Associaton Of Washington
93;13:00-23:00;New York;5/25/17 18:15;Little West 12th St;[restaurant_and/or_location_not_given]@mail.com;0496-889479;[Restaurant And/Or Location Not Given]
94;13:00-23:00;New York;5/26/17 4:35;E 39th St;pear_and_pardritge@inbox.com;0494-818290;Pear And Pardritge
95;08:00-12:00;San Francisco;5/27/17 3:06;Iron Alley;huguenin@gmail.com;0495-693633;Huguenin
96;12:00-23:00;;5/27/17 7:06;Kenwood Way;mckees_restaurant@inbox.com;0495-516587;McKees Restaurant
97;13:00-23:00;San Francisco;5/27/17 9:13;Wilde Ave;elka_park_association@outlook.com;0496-577049;Elka Park Association
98;13:00-23:00;New York;5/27/17 20:39;W 116th St;ewings_new_restaurant@outlook.com;0494-245261;Ewings New Restaurant
99;08:00-12:00;New York;5/28/17 5:25;Sheriff St;national_republican_club_house_[?]@inbox.com;0494-369190;National Republican Club House [?]
100;13:00-23:00;New York;5/28/17 18:13;Amsterdam Ave;kempinski_restaurant@mail.com;0497-742699;Kempinski Restaurant
101;13:00-23:00;New York;5/29/17 23:16;Pomander Walk;luccionis@mail.com;0499-167949;Luccionis
102;12:00-23:00;;5/30/17 7:49;Lincoln Way;library_room@aol.com;0496-312433;Library Room
103;13:00-23:00;New York;5/30/17 9:20;John Jay Byrne Bridge;volapukakluba_nolumelopik@inbox.com;0495-155452;Volapukakluba Nolumelopik
104;13:00-23:00;San Francisco;5/30/17 9:44;Bryant Ln;wells_river_fish_and_game_club@yahoo.com;0498-251750;Wells River Fish And Game Club
105;08:00-21:00;New York;5/30/17 21:40;E 52nd St;broadway_tabernacle_church@hotmail.com;0497-404394;Broadway Tabernacle Church
106;12:00-20:00;New York;5/31/17 8:42;Park Pl;the_concord@yahoo.com;0498-089105;The Concord
107;13:00-23:00;San Francisco;5/31/17 22:45;Alta St;sangamo_club@inbox.com;0496-311062;Sangamo Club
108;08:00-12:00;San Francisco;6/1/17 11:18;Ophir Alley;mouquin_restaurant_&_wine_co@hotmail.com;0494-803235;Mouquin Restaurant & Wine Co.
109;08:00-12:00;San Francisco;6/2/17 14:04;39th Ave;stammhaus@outlook.com;0495-003335;Stammhaus
110;12:00-20:00;San Francisco;6/2/17 23:17;Cosmo Pl;hardware_and_metal_trades@mail.com;0497-381236;Hardware And Metal Trades
111;12:00-23:00;;6/3/17 6:10;Mansfield St;pennsylvania_tours_to_the_golden_gate@hotmail.com;0499-240382;Pennsylvania Tours To The Golden Gate
112;08:00-21:00;San Francisco;6/5/17 5:37;Mcrae Ln - Golden Gate National Recreation Area;taj@gmail.com;0496-945579;Taj
113;13:00-23:00;New York;6/5/17 15:21;Thelonius Monk Cir;aviation_terrace@mail.com;0499-758005;Aviation Terrace
114;08:00-21:00;New York;6/6/17 5:35;E 118th St;mexican_american_ss_co@aol.com;0494-061867;Mexican American S.S. Co.
115;08:00-12:00;San Francisco;6/8/17 6:24;J St;quill_and_dagger@gmail.com;0497-508830;Quill And Dagger
116;12:00-20:00;New York;6/8/17 13:23;Cliff St;leones@yahoo.com;0495-793323;Leones
117;13:00-23:00;New York;6/8/17 20:26;Thelonius Monk Cir;the_windsor@yahoo.com;0497-298521;The Windsor
118;12:00-20:00;San Francisco;6/10/17 1:07;Belvedere St;dramaten_restaurangen@inbox.com;0494-988561;Dramaten Restaurangen
119;08:00-12:00;San Francisco;6/10/17 12:17;Edgardo Pl;pullman_dining_car_serfvice_the_president@hotmail.com;0495-974544;Pullman Dining Car Serfvice The President
120;12:00-23:00;;6/11/17 5:52;Nike Rd;royal_literary_fund@mail.com;0494-481828;Royal Literary Fund
121;12:00-20:00;New York;6/11/17 7:23;Bank St;mr_smfelton@yahoo.com;0495-955929;Mr. S.M.Felton
122;13:00-23:00;San Francisco;6/11/17 23:51;Park Presidio Blvd;shanes@inbox.com;0495-418146;Shanes
123;08:00-12:00;San Francisco;6/12/17 0:52;Milton I Ross Ln;crawfords@inbox.com;0494-658590;Crawfords
124;12:00-23:00;;6/12/17 11:33;Baxter St;streets_of_mexico_restaurant@yahoo.com;0495-089881;Streets Of Mexico Restaurant
125;08:00-12:00;San Francisco;6/12/17 12:25;Bernice St;alberg_inn@outlook.com;0494-075817;Alberg Inn
126;08:00-12:00;San Francisco;6/12/17 13:17;Curtis St;jack_trayers@mail.com;0494-232218;Jack Trayers
127;08:00-12:00;San Francisco;6/14/17 2:13;16th Ave;riggs_house@yahoo.com;0495-706008;Riggs House
128;12:00-20:00;San Francisco;6/14/17 10:45;Islais St;chicken_ranch@aol.com;0498-127118;Chicken Ranch
129;12:00-20:00;New York;6/14/17 11:14;W 60th St;hotel_worthy@aol.com;0498-745816;Hotel Worthy
130;08:00-12:00;San Francisco;6/14/17 20:02;Mayfair Dr;connecticut_society_of_civil_engineers@yahoo.com;0494-759015;Connecticut Society Of Civil Engineers
131;08:00-12:00;San Francisco;6/14/17 22:13;Margaret Ave;carlton_terrace@mail.com;0498-628910;Carlton Terrace
132;12:00-23:00;;6/15/17 5:52;Manor Dr;karl_ratzschs@hotmail.com;0498-457437;Karl Ratzschs
133;12:00-23:00;;6/15/17 7:41;Nevada St;the_guaranty_club@yahoo.com;0495-732270;The Guaranty Club
134;12:00-23:00;;6/15/17 21:28;Ashwood Ln;the_upholstey_and_allied_trades@yahoo.com;0499-348306;The Upholstey And Allied Trades
135;13:00-23:00;San Francisco;6/16/17 1:07;Avenue C;joe_coluccis_puccini_restaurant@aol.com;0498-592335;Joe Coluccis Puccini Restaurant
136;12:00-23:00;;6/16/17 3:47;Doublerock St;brasserie_dalsace@mail.com;0495-312358;Brasserie Dalsace
137;12:00-20:00;New York;6/16/17 11:58;Morningside Dr;rubinstein_club@gmail.com;0495-178975;Rubinstein Club
138;12:00-23:00;;6/16/17 13:15;3rd Pl;park_lane@aol.com;0498-053394;Park Lane
139;13:00-23:00;New York;6/17/17 9:32;59th St Bridge;jacob_reiss@aol.com;0494-056519;Jacob Reiss
140;08:00-21:00;San Francisco;6/19/17 23:50;Melba Ave;norfolk_and_western_railway,_southern_railway_system@hotmail.com;0494-616661;Norfolk And Western Railway, Southern Railway System
141;08:00-21:00;San Francisco;6/20/17 9:43;Harper St;hotel_new_weston@yahoo.com;0495-938854;Hotel New Weston
142;08:00-12:00;San Francisco;6/20/17 18:14;Beaver St;princess_hotel@aol.com;0495-221082;Princess Hotel
143;08:00-12:00;New York;6/21/17 19:19;W 157th St;stockeld_park@hotmail.com;0499-188589;Stockeld Park
144;12:00-23:00;;6/22/17 7:40;Lloyd St;municipal_art_society@inbox.com;0499-650581;Municipal Art Society
145;12:00-23:00;;6/23/17 7:36;Pearl St;cocoanut_grove@inbox.com;0494-400826;Cocoanut Grove
146;08:00-12:00;New York;6/23/17 20:19;Randalls Is Rd;kalils_restaurant@gmail.com;0495-409004;Kalils Restaurant
147;12:00-23:00;;6/24/17 3:16;Cabrillo St;international_railway_congress@hotmail.com;0494-344541;International Railway Congress
148;13:00-23:00;New York;6/27/17 1:11;Tiemann Pl;nippon_yusen_kaisha___sskobe_liaru@aol.com;0496-749513;Nippon Yusen Kaisha   S.S.Kobe Liaru
149;12:00-23:00;;6/28/17 16:26;Faxon Ave;union_pacific__railroad@inbox.com;0495-218313;Union Pacific  Railroad
150;13:00-23:00;New York;6/28/17 21:44;Cannon St;the_waldorf_astoria_hotel@inbox.com;0494-929274;The Waldorf Astoria Hotel
151;13:00-23:00;New York;6/29/17 6:06;Jones Alley;chateau_frontenac_hotel@hotmail.com;0499-824348;Chateau Frontenac Hotel
152;08:00-12:00;New York;6/30/17 5:43;Wall St;savoy_grill@yahoo.com;0497-606598;Savoy Grill
153;12:00-23:00;;6/30/17 11:41;Hay Rd;eastern_hotel@gmail.com;0495-942778;Eastern Hotel
154;13:00-23:00;San Francisco;7/1/17 3:13;Spreckels Lake Dr;veteran_association_of_the_5th_ny_artillery_volunteers@mail.com;0494-819100;Veteran Association Of The 5th Ny Artillery Volunteers
155;12:00-20:00;New York;7/1/17 6:22;S Street Viaduct;mayer@inbox.com;0495-219710;Mayer
156;08:00-12:00;New York;7/1/17 12:47;Fort Washington Ave;volks_restaurant@outlook.com;0496-818382;Volks Restaurant
157;08:00-21:00;New York;7/2/17 8:48;W 144th St;dewitt_clinton_council_no22_r&s_m@gmail.com;0495-500960;Dewitt Clinton Council No.22 R&S M
158;08:00-21:00;New York;7/2/17 19:11;W 143rd St;the_radisson_hotels@inbox.com;0494-801377;The Radisson Hotels
159;12:00-23:00;;7/3/17 13:43;Avenue M;restaurant_faberhof@outlook.com;0494-730473;Restaurant Faberhof
160;12:00-20:00;New York;7/5/17 19:32;E 58th St;us_military_academy@gmail.com;0495-544104;Us Military Academy
161;08:00-12:00;San Francisco;7/6/17 20:49;Upton St;hotel_empire@yahoo.com;0497-936628;Hotel Empire
162;12:00-23:00;;7/7/17 5:10;Winn Way - Golden Gate National Recreation Area;associates_of_the_enginer_corps_and_company_k@gmail.com;0495-143410;Associates Of The Enginer Corps And Company K
163;12:00-23:00;;7/7/17 10:37;Carl St;the_streamliner@gmail.com;0495-160486;The Streamliner
164;12:00-23:00;;7/7/17 17:51;Urbano Dr;brooklyn_democratic_club@yahoo.com;0496-931729;Brooklyn Democratic Club
165;08:00-21:00;New York;7/8/17 9:19;Thompson St;norge_hotel@inbox.com;0495-617859;Norge Hotel
166;12:00-23:00;;7/10/17 7:40;Elk St;assembly@gmail.com;0494-892101;Assembly
167;08:00-21:00;San Francisco;7/10/17 11:42;Folsom St;florida_postmasters_association@gmail.com;0499-468400;Florida Postmasters Association
168;08:00-21:00;San Francisco;7/11/17 6:41;Bartlett St;new_york_library_club@mail.com;0496-516225;New York Library Club
169;12:00-20:00;San Francisco;7/12/17 16:18;Middle Point Rd;new_england_delegation_of_hmmba@mail.com;0499-644955;New England Delegation Of H.M.M.B.A.
170;08:00-12:00;San Francisco;7/13/17 20:29;Lunado Ct;grill_car@outlook.com;0494-323846;Grill Car
171;12:00-23:00;;7/14/17 5:42;Edith St;century_club?@inbox.com;0498-662968;Century Club?
172;08:00-21:00;San Francisco;7/14/17 22:16;Lulu Alley;oceanic_steamship_company___ventura@aol.com;0498-620530;Oceanic Steamship Company   Ventura
173;08:00-12:00;New York;7/15/17 6:19;W 42nd St;park_lane@outlook.com;0497-612011;Park Lane
174;13:00-23:00;New York;7/16/17 6:51;E 91st St;complimentary_banquet,_mount_nelson_hotel_cape_town,_sa@outlook.com;0495-873566;Complimentary Banquet, Mount Nelson Hotel Cape Town, S.A.
175;08:00-12:00;San Francisco;7/16/17 13:28;Heritage;harry_voilers_trocadero_restaurant@inbox.com;0498-227782;Harry Voilers Trocadero Restaurant
176;12:00-23:00;;7/17/17 14:10;Gramercy Park W;royal_york_hotel@yahoo.com;0499-519605;Royal York Hotel
177;12:00-23:00;;7/18/17 11:13;Minetta St;rotisserie_de_la_table_du_roy_(le_chef_georges)@outlook.com;0497-312894;Rotisserie De La Table Du Roy (Le Chef Georges)
178;13:00-23:00;New York;7/18/17 21:43;W 22nd St;league_building@mail.com;0494-973550;League Building
179;12:00-20:00;San Francisco;7/18/17 23:55;Arballo Dr;cincinnati_lodge_of_elks_no_5@yahoo.com;0497-397787;Cincinnati Lodge Of Elks No. 5
180;13:00-23:00;New York;7/21/17 8:41;Nagle Ave;unione_panettieri_italiani@yahoo.com;0497-511141;Unione Panettieri Italiani
181;13:00-23:00;New York;7/24/17 4:58;Escanaba Rd;delta_kappa_epsilon_fraternity@aol.com;0494-762373;Delta Kappa Epsilon Fraternity
182;13:00-23:00;New York;7/25/17 1:03;Macdougal St;the_national_arts_club@mail.com;0495-640880;The National Arts Club
183;12:00-23:00;;7/26/17 8:00;Italy Ave;yale_alumni_association@mail.com;0498-591241;Yale Alumni Association
184;12:00-23:00;;7/26/17 8:51;W 102nd St;neuman_&_bogdonoff@gmail.com;0495-494828;Neuman & Bogdonoff
185;08:00-12:00;San Francisco;7/26/17 16:12;Hubbell St;bevan_house@hotmail.com;0498-318834;Bevan House
186;12:00-20:00;San Francisco;7/28/17 18:54;Blanche St;the_guaranty_club@gmail.com;0498-243008;The Guaranty Club
187;13:00-23:00;New York;7/30/17 4:56;Lincoln Center Plaza;the_astor@outlook.com;0498-833471;The Astor
188;13:00-23:00;San Francisco;8/1/17 5:18;Cresta Vista Dr;steinbergs_dairy@hotmail.com;0499-107536;Steinbergs Dairy
189;13:00-23:00;San Francisco;8/2/17 9:01;Dale Pl;paul_clemann@yahoo.com;0498-742579;Paul Clemann
190;08:00-21:00;New York;8/6/17 12:10;E 52nd St;old_prague_restaurant@mail.com;0496-342584;Old Prague Restaurant
191;12:00-23:00;;8/7/17 1:12;Pell St;hotel_gloria@inbox.com;0499-713286;Hotel Gloria
192;12:00-23:00;;8/7/17 13:00;Marine Dr;harrys_bar@aol.com;0494-616328;Harrys Bar
193;12:00-23:00;;8/7/17 16:57;Burgoyne St;the_cleveland_bankers@yahoo.com;0496-641689;The Cleveland Bankers
194;13:00-23:00;San Francisco;8/8/17 4:18;Mizpah St;ristorante_alfredo_alla_scrofa@aol.com;0495-327881;Ristorante Alfredo Alla Scrofa
195;08:00-12:00;San Francisco;8/8/17 7:08;H St;president_of_jamestown_exposition_company_(h_st_george_tucker)__and_mrs_tucker@hotmail.com;0499-859220;President Of Jamestown Exposition Company (H. St. George Tucker)  And Mrs. Tucker
196;08:00-21:00;New York;8/9/17 13:04;W 97th St;dinner_held_by_pennsylvania_railroad@mail.com;0495-654190;Dinner Held By Pennsylvania Railroad
197;12:00-20:00;San Francisco;8/9/17 19:03;21st St;hong_kong_restaurant@mail.com;0499-499869;Hong Kong Restaurant
198;12:00-23:00;;8/11/17 19:26;W 163rd St;spengers_fish_grotto@yahoo.com;0498-676339;Spengers Fish Grotto
199;13:00-23:00;San Francisco;8/12/17 17:39;Amador St;purcell_house@hotmail.com;0499-685520;Purcell House
200;08:00-21:00;New York;8/13/17 20:18;Chambers St;warrant_officers_of_the_us_north_atlantic_squadron@hotmail.com;0499-282218;Warrant Officers Of The U.S. North Atlantic Squadron
201;12:00-23:00;;8/14/17 15:26;Spofford St;state_department_special_to_the_pand_american_congress_at_the_city_of_mexico_(pullman_car_service)@inbox.com;0494-454774;State Department Special To The Pand American Congress At The City Of Mexico (Pullman Car Service)
202;12:00-23:00;;8/14/17 22:32;Gardenside Dr;royal_hawaiian_hotel_(sheraton_hotels_in_hawaii)@outlook.com;0498-522720;Royal Hawaiian Hotel (Sheraton Hotels In Hawaii)
203;08:00-21:00;San Francisco;8/15/17 2:20;C St;brevoort_house@aol.com;0498-994926;Brevoort House
204;12:00-23:00;;8/15/17 6:47;Knott Ct;dante@inbox.com;0498-723637;Dante
205;08:00-12:00;New York;8/15/17 14:11;E 56th St;le_pistou@inbox.com;0496-903236;Le Pistou
206;13:00-23:00;New York;8/16/17 0:58;W 14th St;london_welsh_lodge@mail.com;0494-083351;London Welsh Lodge
207;08:00-21:00;New York;8/17/17 0:41;Harlem River Dr;agora@hotmail.com;0498-440239;Agora
208;12:00-23:00;;8/17/17 21:24;W 174th St;toyo_kisen_kaisha__hong_kong_maru@hotmail.com;0497-231028;Toyo Kisen Kaisha  Hong Kong Maru
